date,value
2020-06-13,-83.95277380281793
2020-06-14,-83.89521113113624
2020-06-15,-84.57557254799023
2020-06-16,-86.00436364462873
2020-06-17,-86.64870991638034
2020-06-18,-87.7740789979747
2020-06-19,-90.52088532735544
2020-06-20,-92.47238767867421
2020-06-21,-92.91717324221264
2020-06-22,-93.16323856868411
2020-06-23,-94.37474990102321
2020-06-24,-96.97587825626003
2020-06-25,-97.79776143788943
2020-06-26,-96.91416391342435
2020-06-27,-96.95929123989693
2020-06-28,-98.55411806874238
2020-06-29,-98.4621482568546
2020-06-30,-98.08569643946451
2020-07-01,-98.93039783310017
2020-07-02,-99.2503421840006
2020-07-03,-99.29509520370725
2020-07-04,-98.37463318624398
2020-07-05,-98.19639147742518
2020-07-06,-98.80489747657215
2020-07-07,-100.83217336493573
2020-07-08,-102.64655002962603
2020-07-09,-104.26811142441721
2020-07-10,-103.9241917525591
2020-07-11,-102.51744072720028
2020-07-12,-101.53120698557528
2020-07-13,-100.24987376456122
2020-07-14,-100.77267271738498
2020-07-15,-103.19852076350442
2020-07-16,-106.32619202704079
2020-07-17,-109.17846530799044
2020-07-18,-111.32318748777224
